date,iv_skew
2026-03-23,0.08184244196767693
2026-03-24,0.08906827779665061
2026-03-25,0.09234283601069088
2026-03-26,0.08462466555500814
2026-03-27,0.08655958879835879
2026-03-30,0.08807570198827697
2026-03-31,0.07935304611376537
2026-04-01,0.083946359668015
2026-04-02,0.08085636749547431
2026-04-06,0.07316425563736262
2026-04-07,0.06982269850369621
2026-04-08,0.0764882058227001
2026-04-09,0.07293148673687935
2026-04-10,0.06266472336906959
2026-04-13,0.05544526257640858
2026-04-14,0.04974212820295809
2026-04-15,0.045807369210998816
2026-04-16,0.05049301741293838
2026-04-17,0.043911508958581424
2026-04-20,0.04440989977064641
2026-04-21,0.05204102463343874
2026-04-22,0.04324490355148303
2026-04-23,0.05096178827513431
2026-04-24,0.041206530718688184
2026-04-27,0.04429040988474375
2026-04-28,0.04330268982545277
2026-04-29,0.041380726155689995
2026-04-30,0.04328579336249627
2026-05-01,0.04263005608843229
2026-05-04,0.041119604645724284
2026-05-05,0.040155129335176176
2026-05-06,0.04052159583628706
2026-05-07,0.03480507765483609
2026-05-08,0.03268959842949698
2026-05-11,0.03324433298703694
2026-05-12,0.03405421368756323
2026-05-13,0.03807432810170733
2026-05-14,0.03551971498769968
2026-05-15,0.03183133701351143
2026-05-18,0.030846315131139557
2026-05-19,0.034124738680011535
2026-05-20,0.03421481470558996
2026-05-21,0.034795278001940044
2026-05-22,0.03421578043773971
2026-05-26,0.03693156502404771
2026-05-27,0.029712182975646345
2026-05-28,0.030453602476639474
2026-05-29,0.03426551093599248
2026-06-01,0.02847628593988949
2026-06-02,0.022789556872161332
2026-06-03,0.031105329717273922
2026-06-04,0.03036670248690787
2026-06-05,0.03998502460837483
2026-06-08,0.034308799948339574
2026-06-09,0.04740916813279694
2026-06-10,0.05292212371171756
2026-06-11,0.04301229414239377
2026-06-12,0.042995074979484904
2026-06-15,0.03426679970140739
2026-06-16,0.03621710184763821
2026-06-17,0.03409038706174372
2026-06-18,0.036826447765239134
2026-06-22,0.037184320222758416
